layer,n,gate_mean,base_readout_norm_mean,counterfactual_readout_norm_mean,readout_cosine_distance_mean,readout_normalized_l2_mean,base_delta_norm_mean,counterfactual_delta_norm_mean,delta_cosine_distance_mean,delta_normalized_l2_mean,base_target_attention_mass_mean,counterfactual_target_attention_mass_mean,base_attention_entropy_mean,counterfactual_attention_entropy_mean
11,16,-0.010101318359375,801.168628692627,801.0788040161133,8.754432201385498e-07,0.004073817268328818,8.092840999364853,8.091938585042953,7.078051567077637e-07,0.004090531362955918,0.01377707946812734,0.012516498274635524,0.8089659623801708,0.8086584806442261
12,16,0.01398468017578125,1003.6228637695312,1004.4714965820312,6.07222318649292e-07,0.0022307182447555748,14.035353064537048,14.047231197357178,7.413327693939209e-07,0.0022497963550061843,0.011616082047112286,0.009794266923563555,0.7647581100463867,0.764310859143734
13,16,0.0190582275390625,1101.836814880371,1099.498462677002,5.97536563873291e-06,0.009054486551085632,20.99906313419342,20.9545476436615,6.1355531215667725e-06,0.009062893139962681,0.011728544675861485,0.012210715562105179,0.6952832452952862,0.6946960240602493
14,16,0.01058197021484375,967.0730247497559,966.3862686157227,6.631016731262207e-07,0.0021556604628846293,10.233520328998566,10.226263165473938,7.860362529754639e-07,0.0021791341396866877,0.014489204797428101,0.013712778512854129,0.8362611643970013,0.8359569273889065
15,16,-0.0004973411560058594,835.031925201416,833.7695693969727,2.339482307434082e-06,0.003377309668935809,0.41529425233602524,0.4146661814302206,2.3618340492248535e-06,0.0033808921605401163,0.008947796522988938,0.008908586445613764,0.7141003683209419,0.7143506482243538
16,16,-0.0010395050048828125,816.5847434997559,816.2465972900391,2.1979212760925293e-06,0.006379344447549654,0.848846610635519,0.8484939634799957,2.216547727584839e-06,0.006388288634008751,0.01165842090267688,0.01170844744774513,0.8322360217571259,0.8324810862541199
17,16,0.0109405517578125,1134.0293197631836,1133.3178634643555,1.1138617992401123e-06,0.0035386913300737752,12.4068204164505,12.399053156375885,1.1399388313293457e-06,0.003556458976057685,0.011460777051979676,0.01161882393353153,0.7426698245108128,0.7430359199643135
18,16,0.00011408329010009766,773.1971054077148,772.5017433166504,3.423541784286499e-06,0.00548332911752245,0.08820898458361626,0.08812955394387245,3.475695848464966e-06,0.0054943566785427035,0.015008589049102738,0.01595625013578683,0.793975755572319,0.7941304370760918
19,16,-0.010345458984375,1401.3455657958984,1400.0033340454102,3.7588179111480713e-06,0.006585233161573038,14.497541427612305,14.483676314353943,3.6582350730895996e-06,0.0065899588459406135,0.028212084260303527,0.028769662487320602,0.8307582065463066,0.8306523077189922
20,16,-0.00698089599609375,954.4673767089844,954.0366134643555,1.1257827281951904e-05,0.014807711914671184,6.663042813539505,6.660048693418503,1.1377036571502686e-05,0.01481053793100724,0.03197063959669322,0.03335845936089754,0.7388452924787998,0.7388741485774517
21,16,-0.0024433135986328125,1597.3924179077148,1599.343162536621,7.4319541454315186e-06,0.008482127354735605,3.90295173227787,3.9077085107564926,7.3462724685668945e-06,0.00848697772787925,0.026324316626414657,0.026976706343702972,0.7915953733026981,0.7917965762317181
22,16,0.0026416778564453125,1838.4212265014648,1826.6603469848633,1.728162169456482e-05,0.01770915332218562,4.856524556875229,4.825458407402039,1.734122633934021e-05,0.01771400392256848,0.02451541495975107,0.023971314541995525,0.8120943084359169,0.8123981915414333
23,16,0.0068511962890625,1485.7485885620117,1483.709976196289,4.9427151679992676e-05,0.020499375938769698,10.179157555103302,10.165184020996094,4.9486756324768066e-05,0.02050325330845244,0.024887340259738266,0.02520590741187334,0.8271568454802036,0.8271938003599644
24,16,0.01432037353515625,1450.2156295776367,1532.9002532958984,0.0005518011748790741,0.13010954928013369,20.767508029937744,21.95160001516342,0.0005518719553947449,0.1301113157005549,0.03177314018830657,0.03149107634089887,0.7928552813827991,0.7929522804915905
25,16,0.0033359527587890625,1313.2422637939453,1341.4794616699219,0.0002540759742259979,0.04154481442244066,4.380919128656387,4.475107699632645,0.00025404244661331177,0.04154616693260138,0.025439274962991476,0.02430466061923653,0.8423454537987709,0.8423291444778442
26,16,0.0200347900390625,2025.1204681396484,2084.410774230957,0.00029819831252098083,0.059935692289434725,40.57291603088379,41.76072883605957,0.00029840320348739624,0.059938076240032785,0.04622170748189092,0.04518137453123927,0.8050114177167416,0.8052363358438015
27,16,0.015167236328125,3493.654098510742,3517.8988037109375,5.21242618560791e-05,0.015241390648227132,52.989216804504395,53.35689616203308,5.222111940383911e-05,0.015245814155782722,0.027921422268263996,0.029010638827458024,0.8048143126070499,0.8045647032558918
28,16,-5.1140785217285156e-05,1054.6709518432617,1096.8070449829102,0.0042975060641765594,0.1442248199713841,0.05393658601678908,0.05609158193692565,0.004297573119401932,0.14422519371706763,0.060050173895433545,0.06042828597128391,0.811003889888525,0.8104757554829121
29,16,0.0279541015625,1518.1725044250488,1348.319278717041,0.22022940451279283,0.6648600960482296,42.43911337852478,37.691059827804565,0.2202299302443862,0.664859472334711,0.07804341986775398,0.07746607693843544,0.7151700854301453,0.7154664397239685
30,16,0.012603759765625,3110.9486236572266,3101.6854400634766,0.002193942666053772,0.10595523349460437,39.20963430404663,39.092894315719604,0.002193823456764221,0.10595528015271011,0.0442740727448836,0.043391539715230465,0.8002780042588711,0.7999646887183189
31,16,0.0217437744140625,2150.6285133361816,1843.037208557129,0.012731630355119705,0.32078019523210866,46.76289248466492,40.074622094631195,0.0127316415309906,0.3207811432700849,0.06316844734828919,0.05319709819741547,0.7392575554549694,0.7402442209422588
32,16,0.025726318359375,2949.7871894836426,2568.4772930145264,0.21908146888017654,0.5547410594331779,75.88749027252197,66.07744485139847,0.21908134687691927,0.5547422540960288,0.05792884551919997,0.05657298187725246,0.7513101249933243,0.7494567148387432
33,16,0.0423583984375,3249.3144569396973,3049.6690635681152,0.542952791787684,0.9788731816640135,137.63568997383118,129.17906260490417,0.5429528360255063,0.9788730635348026,0.12129247817210853,0.09714165097102523,0.6480378583073616,0.6548953279852867
34,16,0.020538330078125,5140.120651245117,5248.583587646484,0.007021535187959671,0.2767009562387094,105.56962060928345,107.7971544265747,0.0070215798914432526,0.27670263563090014,0.08026123396120965,0.0766788546461612,0.7311508506536484,0.7318876944482327
35,16,0.000530242919921875,2176.474449157715,2175.241584777832,0.0016910471022129059,0.06015319991584678,1.1540597528219223,1.1534072235226631,0.0016912668943405151,0.060154803314370585,0.02369147550780326,0.023569265962578356,0.9126871861517429,0.9119754694402218
