dataset,layer,mean_gold_logit,mean_gold_margin,mean_gold_prob,mean_gold_rank,mean_median_gold_rank,mean_token_count,median_gold_margin,median_gold_rank,method,n_rows,n_samples,receiver_prompt_mode,token_group
hotpotqa,1,2.2136648995535713,-12.19277111235119,1.0345680295111734e-05,90628.20773809524,100301.5,4.714285714285714,-12.439208984375,94681.6,mse_then_ce,14,14,context_aware,numeric_tokens
hotpotqa,2,1.4646094912574406,-12.891491699218749,2.0990119026411077e-06,100682.31488095237,106906.57142857143,4.714285714285714,-13.4193359375,105567.26666666666,mse_then_ce,14,14,context_aware,numeric_tokens
hotpotqa,3,0.4762980143229166,-13.563657342819939,5.905721616511499e-07,112184.5625,120062.17857142857,4.714285714285714,-13.7548828125,114625.04166666666,mse_then_ce,14,14,context_aware,numeric_tokens
hotpotqa,4,-0.3066657202584403,-11.9873204821632,6.445452993770896e-07,118576.38095238095,125322.96428571429,4.714285714285714,-11.964589436848957,119488.79166666666,mse_then_ce,14,14,context_aware,numeric_tokens
hotpotqa,5,-0.26972510928199406,-11.103467668805804,3.142174601013873e-06,108078.57857142857,115285.82142857143,4.714285714285714,-10.968353271484375,114715.125,mse_then_ce,14,14,context_aware,numeric_tokens
hotpotqa,6,-0.22607160295758927,-11.655573091052828,2.8573082128421776e-06,100406.68988095238,102159.78571428571,4.714285714285714,-11.260589599609375,98642.0,mse_then_ce,14,14,context_aware,numeric_tokens
hotpotqa,7,0.026811290922619056,-11.448263113839285,4.13104766847612e-06,86086.06309523809,83503.82142857143,4.714285714285714,-10.92236328125,83179.125,mse_then_ce,14,14,context_aware,numeric_tokens
hotpotqa,8,-0.5337621779668899,-12.337668427966891,1.7009717249896708e-06,99616.37321428573,99689.10714285714,4.714285714285714,-12.3876953125,95848.125,mse_then_ce,14,14,context_aware,numeric_tokens
hotpotqa,9,-0.8015849340529668,-13.173422731672016,7.422116005192607e-07,107590.74940476191,109167.85714285714,4.714285714285714,-12.404195149739582,109291.3125,mse_then_ce,14,14,context_aware,numeric_tokens
hotpotqa,10,-0.18340933663504463,-12.355135527111235,9.372210023853807e-07,104012.34880952381,104913.39285714286,4.714285714285714,-12.048721313476562,105158.1875,mse_then_ce,14,14,context_aware,numeric_tokens
hotpotqa,11,0.2640005929129464,-10.918365478515625,3.052253659848068e-06,82481.63273809524,80733.67857142857,4.714285714285714,-10.315673828125,79750.25,mse_then_ce,14,14,context_aware,numeric_tokens
hotpotqa,12,0.057740711030505966,-11.2517086937314,1.8194255284193073e-06,89888.81011904762,88802.42857142857,4.714285714285714,-10.48388671875,85968.125,mse_then_ce,14,14,context_aware,numeric_tokens
hotpotqa,13,-0.24943934849330357,-10.781693812779016,4.612920179944611e-06,84413.72321428571,82196.17857142857,4.714285714285714,-10.245849609375,82801.0,mse_then_ce,14,14,context_aware,numeric_tokens
hotpotqa,14,-0.329980214436849,-10.222874559674946,5.376896255874667e-06,77909.1988095238,68009.5,4.714285714285714,-9.954915364583332,74189.83333333334,mse_then_ce,14,14,context_aware,numeric_tokens
hotpotqa,15,-0.23688405354817707,-9.637814113071986,1.0275300405453226e-05,72446.89761904762,65320.392857142855,4.714285714285714,-9.48260498046875,67639.125,mse_then_ce,14,14,context_aware,numeric_tokens
